alteracoes,com_problema
nao ha,0
c12110,0
risco profundo na lataria do capo escudo da prf,0
efetuado reparo no farol,0
vidro do motorista fecha com dificuldade,0
sem alteracoes deslocamento a uberlandia,0
revisao 30 mil km em uberlandia autus chevrolet afonso pena,0
sem relatos,0
viatura sem alteracoes,0
viatura com avarias na parte frontal mormente no lado direito e na lateral esquerda traseira motivadas por acidente ocorrido em periodo anterior a entrega para uso do gft01 faltando a calota da roda dianteira direita,1
fluido do sistema hidraulico da direcao vazando oleo verificado data 17 02 2021,1
3 marcha escapando,1
01 liquido de arrefecimento do motor ok 02 fluido de freios ok 03 fluido da direcao hidraulica ok 04 nivel do oleo ok 05 liquido do lavador ok 06 vazamentos inexistentes 07 cartao de abastecimento 08 borracha da porta traseira direita solta 09 para choque dianteiro avariado no lado esquerdo no farol de neblina conferida por david ii,0
01 liquido de arrefecimento do motor ok 02 fluido de freios ok 03 fluido da direcao hidraulica ok 04 nivel do oleo ok 05 liquido do lavador ok 06 vazamentos inexistentes 07 cartao de abastecimento ok conferida,0
01 liquido de arrefecimento do motor ok 02 fluido de freios ok 03 fluido da direcao hidraulica ok 04 nivel do oleo ok 05 liquido do lavador ok 06 vazamentos inexistentes 07 cartao de abastecimento ok 08 para choque dianteiro danificado no lado direito 09 protetor do para choque quebra mato amassado 10 tampa da carroceria amassada conferida david ii,0
pequena avaria farol de busca lado direito amassados na tampa da carroceria,0
pequeno amassado na parte traseira lado esquerdo lanterna traseira trincada para brisa trincado na parte direita,0
pequeno amassado no capo junto ao protetor dianteiro,0
radio inoperante,0
troca de oleo do motor vencida pneus traseiros atingiram o indicador do twi,1
paralama dianteiro lado direito com pintura danificada,0
viatura reserva sem alteracoes,0
porta malas amasssado nao fecha,0
recebemos vtr em bom estado,0
necessidade de troca 02 pneus traseiros com desgaste elevado da banda de rodagem lado externo alem do twi a troca de oleo foi informada pelo chefe npf lenneberg que pediu para lancar,1
ar condicionado so funciona com o veiculo em movimento,0
sirene baixa prejudica os deslocamentos de emergencia adicionado em 07 02 2020 por de avila,1
viatura baixada embreagem deslizando lanterna de posicao dianteira esquerda queimada,1
viatura baixada pastilha disco de freio com problema lampada do farol de posicao direito queimado roda dianteira esquerda apresenta desgaste excessivo na parte interna,1
luzes de orientacao de transito nao funcionam,0
aparentemente sem alteracoes,0
barulhos no escapamento,0
laterna traseira direita quebrada,0
bateria com problema perdeu carga com vtr parada em orientacao de transito limpador de parabriza inoperante luz do farol luz baixo esquerdo queimada,1
amacamento batida na porta dianteira direita limpadores de parabriza ineficientes,1
pequenos arranhoes na pintura porta dianteira direita e para choque traseiro lado direito,0
mal contato no controle do giroflex portas com dificuldades para fechar viatura as vezes desliga sozinha e tem dificuldades para ligar,1
lanterna traseira esquerda queimada luz do painel referente combustivel com mau funcionamento,1
duas luzes laterais esquerda da prancha queimadas cadeado da caixa lado direito c defeito o mesmo nao abre,0
pastilha de freio,1
riscos,0
riscos e pequeno amassado sob o capo e coluna dianteira direita conforme relato pdi do dia 30 01 2021 pdi n 1990478,0
necessita de alinhamento e balanceamento,0
nenhuma,0
indicacao de pressao dos pneus aparecendo quando liga o veiculo pneus calibrados anteontem,0
vidros eletricos dianteiros com problemas turbina falhando luz do filtro de combustivel acesa,0
vtr na garagem,0
amassado no capu,0
luz baixa lado esquerdo com mau funcionamento para choque traseiro com riscados,0
ver,0
ok,0
sem alteracoes aparentes,0
viatura operacional,0
operacional,0
acendeu e apagou a luz da injecao,1
sem placa traseira,0
luz de posicao dianteira esquerda queimada,0
viatura encontra se quebrada na oficina em bom jesus rolamento do alternador quebrado amortecedor da porta traseira lado direito quebrado freios ineficientes possivelmente pastilhas desgastadas vtr em conserto,1
a disposicao do supervisor prf tony,0
borracha do limpador de para brisa ineficiente borrachas desgastadas borracha de vedacao da porta esquerda traseira descolando e banco dianteiro direito e esquerdo soltando estofamento pneus dianteiro esquerdo traseiro direito e esquerdo atingiram a marcacao do twi,1
liquido de arrefecimento no minimo tampa traseira lado direito carroceria travando para choque traseiro amassado no lado esquerdo tampa da lanterna traseira esquerda quebrada tampa da lanterna direita fissurada ausente o envoltorio plastico do farol de neblina direito nivel de oleo do motor no minimo pneu dianteiro direito com marcacao twi alcancada,1
bandeja direita do eixo dianteiro quebrada sistema de iluminacao intermitente com falhas desligando sozinho viatura parada necessitando de conserto,1
bateria recarregada,1
problemas com alternador chave travada no contato bateria totalmente descarregada vidro traseiro esquerdo aberto,1
as mesmas ja registradas,0
n,0
a serem preenchidas posteriormente,0
1 lampada auxiliar de busca esquerda e direita inoperantes 2 batida lateral nas portas esquerdas 3 estribo esquerdo amassado 4 alerta luminoso no painel trocar o oleo do motor em breve,0
palheta do limpador ineficiente,1
ar condicionado inoperante,0
sem alteracoes luz de manutencao acessa no painel,0
viatura nao utilizada por esta equipe a disposicao das equipes de servico extraordinaria que realizaram suas atividades no decorrer deste plantao,0
informo que o brasao da prf no capo da viatura esta danificado um pouco no canto superior direito segundo o sistema pdi o veiculo deve realizar a troca de oleo,1
capas dos retrovisores quebradas,0
a alca de seguranca para o passageiro da frente encontra se solta luz baixa dianteira da direita queimada,0
vtr recebida do prf rabelo para brisas riscado e palhetas ruins soleira no lado direito amassada,0
luz de freio lado direito inoperante,0
radio ver nao funciona,0
estrobo inoperante luz esquerda da placa inoperante porta traseira esquerda com dificuldades para fechar porta dianteira com estalos ao movimento,0
embreagem derrapando,1
viatura com o farol de milha lado do motorista com a pelicula quebrada farol ainda com o funcionamento de iluminacao,0
borracha da porta traseira esquerda solta tubo metalico no assoalho do veiculo em frente ao banco traseiro arranhoes na tampa traseira vidro traseiro esquerdo travado chave de ignicao com cabo quebrado,0
pneu traseiro esquerdo murchando possivelmente furado,1
vtr com equipe de ifr prf s emanuel e walber das 7h as 19 h com deslocamento em pdi propria,0
veiculo em ordem mas raio x com defeito peca nos eua sendo inspecionada em garantia,0
revisao vencida,1
problemas mecanicos no motor,1
viatura acidentada,1
apresentou falha no dispositivo de marcha a re em 29 01 2021 parafuso no pneu dianteiro esquerdo,1
sensor de pressao de pneu traseiro esquerdo inoperante,0
sem repassadas e ou informadas,0
sistema de calibragem de pneus e vidros eletricos com problemas,0
alteracoes fluido do radiador abaixo do nivel ideal,1
falta moldura do farol de neblina lado direito iluminacao da placa traseira lado direito nao funciona e esta se soltando com risco de cair numa trepidacao riscos no parachoque traseiro lado direito targeta da placa traseira quebrada e ultimo algarismo parcialmente apagado,0
amassado na porta do motorista verificado pela equipe do dia 17 02 2021,0
luz da injecao acessa barulho ao engatar 4 marcha,1
freio com ruido veiculo esta na oficina marista para manutencao dos freios,1
viatura indisponivel,1
s a nao utilizada neste plantao,0
solicito a troca dos limpadores do para brisas estao muito ruins ineficientes,1
por algumas vezes a terceira marcha desengrena sozinha,1
durante o plantao a viatura apresentou vibracao tremendo bastante durante o deslocamento ao chegar a velocidade 100km h fomos ate uma borracharia onde feita a calibragem dos pneus e mesmo assim continuou o problema a sugestao e fazer o alinhamento e balanceamento desta viatura,1
s alt,0
estepe vazio comando das luzes intermitentes e sirenes apresentando falhas viatura levada para oficina pelos servidores luiz e alfredo,1
nhil 04 pneus novos,0
embora o sistema parte diaria informasse o km inicial 144363 o odometro informava 68431 km dessa forma ao abastecer a equipe informou ao funcionario do auto posto terceiro milenio o km do odometro a saber 68443 km informacao equipe anterior km atual da vtr 68474,1
trinca no parabrisa e barulho na roda dianteira esquerda embreagem com problema,1
farois auxiliares inoperantes,0
odometro aponta oleo vencido,1
pneu dianteiro do lado direito rasgado,1
bateria descarregada,1
anteriores,0
luz de placa queimada e sem capota da carroceria,0
parachoque traseiro com pequenos quebrados,0
trocar paletas do limpador lampada da placa de identificacao queimada,1
radio nao funciona para choque dianteiro ralado no lado direito,0
regista se que durante o servico a equipe percebeu uma luz indicativa no painel desta vtr de acordo com o manual do proprietario o qual foi consultado essa luz indica excesso de agua no filtro de combustivel,0
sem altracao,0
giroflex nao funciona,1
sem pneu sobressalente,1
palheta de limpador de parabrisa em pessimo estado,1
nao rodou,0
mensagens de revisao e de verificacao do air bag sem base de fixacao da antena do radio,1
amassado no capo lado esquerdo sobre a faixa amarela nao ultrapassar 101000 km antes da troca de oleo,0
sem novas alteracoes,0
farol direito com luz baixa queimada,0
sinalizacao de emergencia giroflash deficitaria acendendo apenas 02 quadros de leds lado direito ha luzes de advertencia acesas permanentemente no painel com indicacao de anomalia do sistema de airbag de manutencao preventiva e de nivel de combustivel baixo ar condicionado nao refrigerando tambem apresenta por vezes dificuldade de acesso ao porta malas nao libera a abertura mesmo sendo acionado o destravamanto radio de comunicacao desconfigurado canal 20 ausente,1
farol luz baixa desregulado perturbando o condutor em sentido contrario sistema de ar condicionado em pane permanece sempre ligado no fluxo maximo luz da injecao eletronica constantemente acesa mensagens no painel indicando falha no sistema de air bag e luz de placa queimada,1
lanterna auxiliar led lado esquerdo do teto nao esta ligando de cima da vtr,0
viatura disponibilizada as 08 15,0
para brisa trincado,0
vtr motopol sem deslocamento ligada para carregar bateria,0
sem bateria em 27 01 2021 viatura nao deu partida para conferir odometro sem uso em 16 02 21 foi trocada a bateria prf belchior trouxe o equipamento e foi trocada na area da uop tambem trocado o estepe e recuperado o pneu furado,1
vidro traseiro esquerdo nao baixa luz de placa queimada,0
farol baixo esquerdo solicito troca lampada placa traseira solicito 01 rebite na tarjeta atencao gestor de frota solicito lavagem geral,0
sem sirene e sinais sonoros,1
sem alteracoes em relacao a pd anterior,0
trinca na parte inferior direita do para brisa dianteiro,0
vtr conduzida pelo servidor terceirizado maxuel santana,0
conforme registros,0
vtr encaninhada para troca do parabrisa dianteiro com o cartao de abastecimento,1
utilizando a chave reserva em virtude de nao ter achado a principal,0
verificar paletas do limpador de para brisa,1
riscado e batido a lateral traseira esquerda,0
o barulho abaixo do veiculo como de um defletor solto e batendo quando passa de 80km h amassado no porta malas parachoque,1
preenchidas anteriormente,0
por se tratar de trecho com fluxo decorrente da regiao de fronteira com rotineira e intensa atividade criminosa por vezes se faz necessario utilizar as prerrogativas inerentes a veiculos de policia em deslocamentos de urgencia e ou emergencia fazendo uso de dispositivos regulamentares de alarme sonoro e iluminacao vermelha intermitente conforme preconiza o art 29 da lei 9 503 97 codigo brasileiro de transito com a finalidade de exceder o limite de velocidade definido pelo orgao com circunscricao sobre a via para realizar abordagens a veiculos suspeitos e acompanhamento tatico barulho de trepidacao na suspensao traseira,1
ja relatadas,0
luz de freio lado esquerdo e luz de placa queimadas,0
vidro do lado do condutor com dificuldade de elevacao fragmento de metal no pneu traseiro direito,1
borracha de protecao interna do para lama solta dianteira lado esquerdo vtr com bateria descarregando necessario balanceamento das rodas,1
apresentando falhas de funcionamento do motor,1
caracteres da placa dianteira sem legibilidade descascando a tinta luz amarela do motor acesa no painel constantemente porta traseira esquerda com dificuldade para fechar motor apresentou algumas falhas engasgos durante ronda palhetas do limpador do para brisa estao ressecadas,1
farol esquerdo queimado sensor de estacionamento inoperante controle de estabilidade com falha adesivos corporativos desbotados principalmente no capo  arranhoes por toda lataria da viatura botoes de ajustes do banco do motorista quebrado interior do veiculo com diversos arranhoes parachoque traseiro desencaixado lampada do farol esquerdo inoperante a viatura foi substituida no turno da noite,0
pequeno amassado na porta dianteira direita avental para barro dianteiro esquerdo avariado as viaturas policiais descritas nesta parte diaria devidamente caracterizadas como tal equipadas com dispositivos sonoros e de iluminacao vermelha intermitente estao sendo utilizadas no deslocamento patrulhamento nas rodovias e vias urbanas por algumas vezes foram imprescindiveis o cometimento de algumas infracoes de transito porem a bem do servico e devidamente justificadas como se mostrara a seguir de acordo com o artigo 29 inciso vii do codigo de transito brasileiro lei 9 503 97 os veiculos de policia gozam de livre circulacao estacionamento e parada quando em servico de urgencia e devidamente identificados por dispositivos regulamentares de alarme sonoro e iluminacao vermelha intermitente nos deslocamentos de ronda os dispositivos sonoros e luminosos estavam devidamente acionados indicando o servico de urgencia em razao do intenso fluxo de veiculos nas vias e como forma de tornar mais celere os deslocamentos de ronda por diversas vezes tornou se imprescindivel desenvolver velocidades acima das maximas permitidas para as vias visando uma maior rapidez e eficiencia no atendimento de ocorrencias que necessitem de uma pronta intervencao policial na atividade cotidiana torna se imprescindivel um deslocamento breve para fins de abordagens e acompanhamentos taticos tornando se praticamente impossivel nao exceder a velocidade maxima regulamentada bem como outras regras gerais de circulacao e conduta e por vezes sem o uso dos sistemas luminosos e sonoros para nao chamar a atencao do condutor a ser abordado por fim relatamos a desenfreada violencia vivida nos estados e na capital federal onde policiais tornam se alvos faceis para infratores sociais cada vez mais bem armados ante o acima exposto e diante de todas as consideracoes elencadas solicita se dos orgaos de transito com circunscricao sobre as vias onde porventura tenham sido praticadas alguma infracao de transito o cancelamento dos respectivos autos de infracao,0
sem alteracoes as viaturas policiais descritas nesta parte diaria devidamente caracterizadas como tal equipadas com dispositivos sonoros e de iluminacao vermelha intermitente estao sendo utilizadas no deslocamento patrulhamento nas rodovias e vias urbanas por algumas vezes foram imprescindiveis o cometimento de algumas infracoes de transito porem a bem do servico e devidamente justificadas como se mostrara a seguir de acordo com o artigo 29 inciso vii do codigo de transito brasileiro lei 9 503 97 os veiculos de policia gozam de livre circulacao estacionamento e parada quando em servico de urgencia e devidamente identificados por dispositivos regulamentares de alarme sonoro e iluminacao vermelha intermitente nos deslocamentos de ronda os dispositivos sonoros e luminosos estavam devidamente acionados indicando o servico de urgencia em razao do intenso fluxo de veiculos nas vias e como forma de tornar mais celere os deslocamentos de ronda por diversas vezes tornou se imprescindivel desenvolver velocidades acima das maximas permitidas para as vias visando uma maior rapidez e eficiencia no atendimento de ocorrencias que necessitem de uma pronta intervencao policial na atividade cotidiana torna se imprescindivel um deslocamento breve para fins de abordagens e acompanhamentos taticos tornando se praticamente impossivel nao exceder a velocidade maxima regulamentada bem como outras regras gerais de circulacao e conduta e por vezes sem o uso dos sistemas luminosos e sonoros para nao chamar a atencao do condutor a ser abordado por fim relatamos a desenfreada violencia vivida nos estados e na capital federal onde policiais tornam se alvos faceis para infratores sociais cada vez mais bem armados ante o acima exposto e diante de todas as consideracoes elencadas solicita se dos orgaos de transito com circunscricao sobre as vias onde porventura tenham sido praticadas alguma infracao de transito o cancelamento dos respectivos autos de infracao,0
normal,0
radio,0
veiculo com pane mecanica,1
fumaca branca saindo do escapamento durante o funcionamento do motor,1
luz indicadora de direcao traseira esquerda inoperante informamos que a equipe de plantao identificou que o km inicial da vtr nao coincide com a verificada in loco em pesquisa verificamos haver um discrepancia na identificacao do km real entre os dias 11 02 2021 ate 13 02 2021,0
sem alteracao aparente,0
subst tampa reservatorio de agua do radiador embreagem baixa viatura reserva,1
s,0
a viatura estourou o pneu dianteiro lado direito no km 187 da br050 foi substituido pelo sobressalente no local,1
aparentemente esta com barulho no rolamento da roda do lado esquerdo traseiro,1
sem alteracoes nao usada no plantao,0
vtr apresenta defeito intermitente de perda de potencia ruidos na suspensao dianteira,1
o manipulo de controle dos retrovisores esta ausente trinca na base inferior lado esquerdo conforme pdi no 1988997 de 29 01 2021 item 6,0
sem alteracoes aparentes  por se tratar de trecho com fluxo decorrente da regiao de fronteira com rotineira e intensa atividade criminosa por vezes se faz necessario utilizar as prerrogativas inerentes a veiculos de policia em deslocamentos de urgencia e ou emergencia fazendo uso de dispositivos regulamentares de alarme sonoro e iluminacao vermelha intermitente conforme preconiza o art 29 da lei 9 503 97 codigo brasileiro de transito com a finalidade de exceder o limite de velocidade definido pelo orgao com circunscricao sobre a via para realizar abordagens a veiculos suspeitos e acompanhamento tatico,0
feito alinhamento em 10 02 2021  por se tratar de trecho com fluxo decorrente da regiao de fronteira com rotineira e intensa atividade criminosa por vezes se faz necessario utilizar as prerrogativas inerentes a veiculos de policia em deslocamentos de urgencia e ou emergencia fazendo uso de dispositivos regulamentares de alarme sonoro e iluminacao vermelha intermitente conforme preconiza o art 29 da lei 9 503 97 codigo brasileiro de transito com a finalidade de exceder o limite de velocidade definido pelo orgao com circunscricao sobre a via para realizar abordagens a veiculos suspeitos e acompanhamento tatico,0
luz de troca de oleo acesa no painel de comando sensor de estacionamento nao alarmou funcionando apenas a camera de re,1
luzes de posicao direito e esquedo estao queimadas,0
farol lado direito queimado,0
ar condicionado nao funciona,0
ar condicionado nao funciona funcionamento do giroflex comprometido,1
borracha vedadoras das portas estao se soltando,0
na pdv aparece uma advertencia informando que a troca de oleo deveria ter sido feita aos 50 000 km feito contato com o gestor de frota prf mauricio santos que confirmou que o procedimento ja foi realizado faltando apenas lanca lo no sistema,1
pneu traseiro direito murcho apenas 22lbs problema persistente luz de seta traseira direita na cor branca em desacordo com a legislacao luz ambar amarela,1
pneu dianteiro direito com vazamento cronico apenas 20psi provavelmente defeito no bico talvez problema seja resolvido com a substituicao do pneu sensor de calibragem de pneus esta invertido lado dianteiro direito com lado direito traseiro no decorrer do plantao foi necessario calibrar o pneus 02 vezes,1
vazamento na caixa de marcha,1
ver pdi anterior,0
palhetas dos limpadores do para brisas estao ressecadas ineficiente,1
sem alteracoes no servico,0
viatura apresentando barulho na parte de baixo provavelmente na suspensao,0
sistema mata cachorro com a borracha solta e soleira da porta do passageiro levemente solta,0
km preenchido incorretamente na pd anterior,0
palhetas do limpador de para brisa com borrachas danificadas,1
reboque para transporte de motocicletas,0
viatura sem radio de comunicacao,0
indisponivel tampa do tanque retirada pela concessionaria ford para verificacao da cor para pintura do para choque,1
nomal porem com ordem do insp sousa jr para leva la para revisao em pouso alegre e traze la de volta,0
vazamento de oleo reparado e lampada trocada,0
o para brisa desta viatura encontrava se com um dano aparente sendo visualizado ao abastecer a viatura apos a limpeza do para brisas no posto de combustivel  sei n 30654731 sei n 30654896 e sei n 30654902,0
conferida pela equipe nao foram encontradas alteracoes dos ultimos relatos,0
permanece a luz de manutencao acesa no painel segundo pessoal da oficina ira ficar assim pois teria que desmontar o painel conferida pela equipe,1
conferida pela equipe sem alteracoes utilizada hoje com c7 230,0
sem borracha de vedacao da porta dianteira direita e para choque dianteiro deslocado do lado esquerdo freio com barulho estranho parece que mesmo em freadas suaves faz barulho de abs botoes da chave nao funcionam para fechar ou abrir a vtr,1
intermitente traseiro e ar condicionado parcialmente inoperantes porta lateral do compartimento de carga emperrando esperando peca para troca comunicado ao gestor substituto sebastiao pereira filho,0
sem estep,1
veiculo em condicoes de uso,0
sem alteracoes relatadas,0
parte interna soltando acabamento prox das portas e amassados na lataria e sistema de iluminacao intermitente giroflex apresentou problemas oscilando funcionamento desligou repentinamente e nao ligava mais apos um periodo voltou a funcionar sensor de pressao no pneu no painel da vtr esta acesso foi feito calibragem de todos pneus porem continua acesso no painel este aviso,1
apresentando mensagem no painel falha no sistema 4x4 bateria descarregando porta nao esta travando vidro da porta do motorista nao esta descendo,1
spot de led da luz auxiliar do sistema de iluminacao policial lado esquerdo faltando tampa traseira nao abre a abertura e travamento das portas no controle da chave apresenta falhas nem sempre funciona,0
recebemos a vtr as 12h do inspetor budnick a qual passamos o material de servico para ela,0
reparar a tampa de tanque de combustivel,0
frente lateral com avaria,0
registra se que durante o deslocamento da equipe ate chapadao do sul na br 060 no km 56 para atendimento de acidente n 21009027b01 na ms 306 um passaro abalroou o retrovisor direito da viatura chevrolet trailblazer lt d4a placa qab5824 danificando o externo e internamente,1
limpador do para brisa ineficiente,1
liquido de arrefecimento em torno de 1 polegada abaixo do minimo com veiculo frio,0
rebarba capo lado esquerdo barulho nao identificado lateral traseira esquerda,0
sensor de calibragem de pneu com problemas trinca de mais ou menos 50 cm no lado esquerdo do para brisas da vtr,0
veiculo apresentando defeito no sistema giroflex parte frontal nao funciona,1
sem alteracao neste servico,0
vtr inoperante e listada para baixa patrimonial,1
palhetas do limpador de para brisas ineficientes,1
lente do farol de neblina esquerdo quebrada,0
farolete esquerdo traseiro queimado trocado pelo prf arthur inicio rodovida,0
lente da lanterna traseira do lado esquerdo danificada arranhoes e desgaste naturais de uso como viatura policial,0
giro quebrado avarias na lataria e tampa traseira radio sem funcionamento para longas distancias refletores laterais nao estao funcionando e oleo motor abaixo do nivel pastilha de freio fazendo barulho,1
arranhoes em geral,0
alem das alteracoes ja lancadas na pd s anteriores observou se 1 ausencia da capa da luz de beco lado direito amassado para lama dianteiro esquerdo,0
problemas nos travamentos das portas e luz de injecao acesa,1
caixa de marcha giro,1
viatura com marcas na parte frontal,0
macanetas quebradas riscos e arranhoes na lataria,0
farol de neblina lado direito inexistente direcao trepidando nas frenagens podendo indicar problemas no disco ou pastilhas de freio,1
radio nao funciona nao liga,0
a disposicao do insp maia junior sem alteracoes,0
nao observado aparente,0
1 marcador de combustivel nao funciona corretamente 2 dano na saia lateral traseira esquerda,1
1 painel com o aviso de anomalia no airbag 2 farol baixo esquerdo nao funciona 3 forro do teto desencaixado na parte traseira direita,1
ar condicionado pouco eficiente,0
farol de busca direito queimado nao funciona a luz estrobo traseira e nem as luzes auxiliares traseiras a viatura fica apagada para quem visualiza de tras,0
a lampada do farol de busca do lado direito esta queimada o conector do radio de comunicacao rj45 esta com defeito a luz de alerta relacionada a pressao dos pneus permanece ligada no painel mesmo apos a calibragem o radio da vtr nao liga as luzes auxiliares traseiras do giro nao estao funcionando quina inferior da lanterna traseira esquerda quebrada,1
sem informacoes de alteracoes,0
sem alteracoes relatadas ou verificadas,0
luz de injecao eletronica acesa direto nao apaga apos a partida necessario substituir os pneus ar condicionado inoperante vtr em pane eletrica nao rodar,1
sem novas alteracoes sem crlv,0
sem novidades,0
giro flex nao funciona,1
para choque traseiro com sinais de colisao pequena,0
vtr deixada na delegacia para troca de oleo,1
luz baixa lado direito inoperante amassado na porta traseira lado direito giroflex e sirene inoperante painel acusa falha no sistema de controle de estabilidade trincado no parabrisa marca de pedra no lado do condutor,1
luz de injecao eletronica acesa,1
devido a pandemia nao estao encontrando os pneus 165 para este veiculo necessidade de troca dos dianteiros limpadores de para brisa ja estao gastos,1
danos conforme bat especifico,0
luz de posicionamento freio direita com mau funcionamento,1
alteracoes ja informadas,0
sem as borrachas de vedacao de ambas as portas traseiras,0
sistema de iluminacao de urgencia e emergencia inoperantes,0
para choque quebrado limpador de parabrisa nao esta funcional principalmente em chuvas fortes barulho anormal no motor,1
radio digital nao registra,0
disco de freio trincado,1
freios traseiros apresentando som estranho ferro x ferro,1
conferencia nivel fluido refrigeracao ok nivel oleo motor ok nivel fluido freio ok nivel fluido direcao ok iluminacao ok lataria riscos e arranhoes decorrentes de desgaste radio ok obs 04 pneus substituidos em 19 09 km 77465 locatelli pneus,0
vidro traseiro quebrado tampa traseira nao abre,0
necessidade de troca das palhetas placa dianteira com caracteres ilegiveis,1
luz de busca esquerda inoperante,0
alarme de airbag no painel,0
ar condicionado funciona e para em seguida,0
radio nao funciona,0
embreagem ruim necessario reparo com urgencia,1
oleo do carter extremamente baixo assim como fluido de freio tambem muito baixo gestor de frota ciente,1
riscos viatura esta sendo baixada neste momento devido ao fato do sistema de freios nao estar funcionado corretamente pedal de freio vai ate o final do seu curso e de vez em quando nao ha condicoes de uma frenagem segura sistema de freios quando acionado faz um rangido muito alto sendo que provavelmente ha gasto demasiado das pastilhas de freio equipe ciente fluido de freio tambem muito baixo gestor de frota ciente,1
a luz de freio esquerda esta queimada viatura sem os tapetes de borracha traseiros,0
puxando para o lado direito freio de estacionamento com problema capo amassado na pdv aparece uma advertencia informando que a troca de oleo deveria ter sido feito aos 122 000 km para brisa trincado amassado no para choque dianteiro no lado esquerdo lampada da lanterna traseira esquerda queimada farois de busca esquerdo e direito sem lentes e queimados freio esquerdo queimado,1
para choque traseiro esta desencaixado no lado direito freio de mao falhando lampada da luz do freio queimada veiculo puxando para o lado direito,0
sistema de iluminacao de emergencia sem funcionar,0
vtr nao utilizada pela equipe de ronda ordinaria,0
sem alteracoes vtr utilizada neste plantao pela equipe ifr,0
vtr nao utilizada nesse plantao,0
transmissor da chave nao funciona,0
encaminhada a akane veiculos para troca de oleo e filtro de oleo do motor,0
conferencia nivel fluido refrigeracao ok,0
luz de manutencao acesa no painel,0
parachoque dianteiro danificado,0
luz da injecao acessa,1
01 luz de posicao dianteira nao funciona,0
analisar a necessidade de teoca de oleo junto ao gestor de frotas dificuldade de travamento das portas atraves dos botoes da chave viatura com extintor vazio parte inferior do painel abaixo do volante do lado do motorista solta,1
pilha do cartao fraca necessitando troca,0
lampada lateral esquerda do giroflex queimada,0
